Stage,Round,Leg,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,,Central,East,(Tue) 6 Jun 2000 (W23),Chicago Fire (15),2-1,?,Miami Fusion (14),,
Regular,?,,Central,Central,(Tue) 6 Jun 2000 (W23),FC Dallas (14),3-2,?,Columbus Crew SC (14),,
Regular,?,,East,Central,(Thu) 8 Jun 2000 (W23),New York Red Bulls (13),0-3,?,Tampa Bay Mutiny (14),,
Regular,?,,West,West,(Fri) 9 Jun 2000 (W23),Colorado Rapids (15),1-0,?,LA Galaxy (15),,
Regular,?,,Central,Central,(Fri) 9 Jun 2000 (W23),Columbus Crew SC (15),1-1,?,FC Dallas (15),,
Regular,?,,East,West,(Fri) 9 Jun 2000 (W23),D.C. United (15),0-0,?,Sporting Kansas City (14),,
Regular,?,,East,Central,(Fri) 9 Jun 2000 (W23),Miami Fusion (15),4-2,?,Chicago Fire (16),,
Regular,?,,East,West,(Fri) 9 Jun 2000 (W23),New England Revolution (15),3-0,?,San Jose Earthquakes (14),,
Regular,?,,Central,East,(Fri) 16 Jun 2000 (W24),Chicago Fire (17),3-2,?,D.C. United (16),,
Regular,?,,West,Central,(Fri) 16 Jun 2000 (W24),Colorado Rapids (16),0-0,?,Columbus Crew SC (16),,
Regular,?,,Central,West,(Fri) 16 Jun 2000 (W24),FC Dallas (16),4-1,?,Sporting Kansas City (15),,
Regular,?,,West,East,(Fri) 16 Jun 2000 (W24),San Jose Earthquakes (15),3-1,?,Miami Fusion (16),,
Regular,?,,West,Central,(Fri) 16 Jun 2000 (W24),LA Galaxy (16),2-1,?,Tampa Bay Mutiny (15),,
Regular,?,,East,East,(Fri) 16 Jun 2000 (W24),New York Red Bulls (14),4-2,?,New England Revolution (16),,
Regular,?,,West,East,(Tue) 20 Jun 2000 (W25),San Jose Earthquakes (16),2-2,?,New England Revolution (17),,
Regular,?,,West,Central,(Tue) 20 Jun 2000 (W25),LA Galaxy (17),1-1,?,Chicago Fire (18),,
Regular,?,,Central,East,(Tue) 20 Jun 2000 (W25),Tampa Bay Mutiny (16),1-4,?,Miami Fusion (17),,
Regular,?,,East,East,(Tue) 20 Jun 2000 (W25),New York Red Bulls (15),2-2,?,D.C. United (17),,
Regular,?,,West,Central,(Tue) 20 Jun 2000 (W25),Sporting Kansas City (16),0-0,?,FC Dallas (17),,
Regular,?,,West,East,(Fri) 23 Jun 2000 (W25),Colorado Rapids (17),1-3,?,New York Red Bulls (16),,
Regular,?,,Central,East,(Fri) 23 Jun 2000 (W25),Columbus Crew SC (17),3-1,?,New England Revolution (18),,
Regular,?,,East,Central,(Fri) 23 Jun 2000 (W25),D.C. United (18),2-0,?,FC Dallas (18),,
Regular,?,,West,Central,(Fri) 23 Jun 2000 (W25),San Jose Earthquakes (17),1-1,?,Chicago Fire (19),,
Regular,?,,East,Central,(Fri) 23 Jun 2000 (W25),Miami Fusion (18),2-3,?,Tampa Bay Mutiny (17),,
Regular,?,,West,West,(Fri) 23 Jun 2000 (W25),Sporting Kansas City (17),2-0,?,LA Galaxy (18),,
Regular,?,,West,Central,(Tue) 27 Jun 2000 (W26),Colorado Rapids (18),1-0,?,FC Dallas (19),,
Regular,?,,Central,Central,(Tue) 27 Jun 2000 (W26),Columbus Crew SC (18),1-2,?,Tampa Bay Mutiny (18),,
Regular,?,,East,West,(Tue) 27 Jun 2000 (W26),D.C. United (19),1-2,?,LA Galaxy (19),,
Regular,?,,East,West,(Tue) 27 Jun 2000 (W26),New York Red Bulls (17),0-0,?,San Jose Earthquakes (18),,
Regular,?,,Central,West,(Fri) 30 Jun 2000 (W26),Columbus Crew SC (19),2-1,?,San Jose Earthquakes (19),,
Regular,?,,East,West,(Fri) 30 Jun 2000 (W26),D.C. United (20),1-1,?,Colorado Rapids (19),,
Regular,?,,Central,West,(Fri) 30 Jun 2000 (W26),FC Dallas (20),4-2,?,LA Galaxy (20),,
Regular,?,,Central,East,(Fri) 30 Jun 2000 (W26),Tampa Bay Mutiny (19),0-2,?,New York Red Bulls (18),,
Regular,?,,West,Central,(Mon) 3 Jul 2000 (W27),Colorado Rapids (20),2-1,?,Chicago Fire (20),,
Regular,?,,West,West,(Mon) 3 Jul 2000 (W27),San Jose Earthquakes (20),0-0,?,Sporting Kansas City (18),,
Regular,?,,West,Central,(Mon) 3 Jul 2000 (W27),LA Galaxy (21),1-0,?,Columbus Crew SC (20),,
Regular,?,,East,East,(Mon) 3 Jul 2000 (W27),Miami Fusion (19),2-1,?,New England Revolution (19),,
Regular,?,,Central,East,(Mon) 3 Jul 2000 (W27),Tampa Bay Mutiny (20),3-0,?,D.C. United (21),,
Regular,?,,East,Central,(Tue) 4 Jul 2000 (W27),New York Red Bulls (19),2-1,?,FC Dallas (21),,
Regular,?,,Central,Central,(Fri) 7 Jul 2000 (W27),Chicago Fire (21),3-1,?,Columbus Crew SC (21),,
Regular,?,,West,West,(Fri) 7 Jul 2000 (W27),Colorado Rapids (21),0-1,?,San Jose Earthquakes (21),,
Regular,?,,Central,East,(Fri) 7 Jul 2000 (W27),FC Dallas (22),3-0,?,D.C. United (22),,
Regular,?,,East,West,(Fri) 7 Jul 2000 (W27),Miami Fusion (20),3-5,?,LA Galaxy (22),,
Regular,?,,West,East,(Fri) 7 Jul 2000 (W27),Sporting Kansas City (19),0-1,?,New York Red Bulls (20),,
Regular,?,,Central,East,(Tue) 11 Jul 2000 (W28),Columbus Crew SC (22),4-1,?,New England Revolution (20),,
Regular,?,,East,Central,(Tue) 11 Jul 2000 (W28),D.C. United (23),2-2,?,Tampa Bay Mutiny (21),,
Regular,?,,Central,Central,(Fri) 14 Jul 2000 (W28),Chicago Fire (22),0-0,?,Tampa Bay Mutiny (22),,
Regular,?,,Central,West,(Fri) 14 Jul 2000 (W28),Columbus Crew SC (23),2-0,?,Sporting Kansas City (20),,
